Country,Year,MonthCode,Month,Name of distribution company,Name of major city,Additional Info,Number of EV Charging Stations excluding Heavy Duty Vehicles charging stations (including EV charging points) (UOM:Number) |Scaling Factor:1,Number of PCS specific to Heavy Duty Vehicles (E-bus etc.) (UOM:Number) |Scaling Factor:1,Electricity consumed in Electric Vehicle (EV) charging stations excluding heavy duty vehicles Public Charging Station (PCS) (UOM:KWH(KilowattPerHour)) |Scaling Factor:1,Electricity consumed in heavy duty Public Charging Station (PCS) only (UOM:KWH(KilowattPerHour)) |Scaling Factor:1,Total electricity consumed of Electric Vehicle (EV) charging stations (UOM:MU(Megaunit)) |Scaling Factor:1
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","Torrent Power, Guj.",Ahemdabad,,27,7,13101,1764649,1.778
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","Tata Power-DDL, Delhi",New Delhi,,639,3,2610000,1580000,4.190
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","Tata Power- DDL, Delhi",New Delhi,,639,3,2610000,1580000,4.190
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","TSSPDCL, Tng.",Hyderabad,,106,9,90000,320000,0.410
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","TSNPDCL, Tng.","Coimbatore, Villupuram, Tirunelveli, Chennai North, Vellore",,123,0,593509,0,0.594
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","TSNPDCL, Tng.","Adilabad, Hanamkonda, Kamareddy, Karimnagar, Khammam, Mahabubabad, Nirmal, Nazimabad, Pdeapally, Warangal",,33,0,8714,0,0.009
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","TSNPDCL, Tng.","Adilabad, Hanamkonda, Kamareddy, Karimnagar, Khammam, Mahabubaba d, Nirmal, Nazimabad, Pdeapally, Warangal",,33,0,8714,0,0.009
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","TPCODL, Orissa","Bhubaneswar, Puri, Khordha & Paradeep",,17,0,3335,0,0.003
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","TANGEDCO, TN","Coimbatore, Villupuram, Tirunelveli, Chennai North, Vellore",,123,0,593509,0,0.594
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","SBPDCL, Bihar",Patna,,223,2,277174,225321,0.502
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","SBPDCL, Bihar","Bhubaneswar, Puri, Khordha & Paradeep",,17,0,3335,0,0.003
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","PGVCL, Guj.","Rajkot, Surendranagar, Junagadh, Jamnagar, Morbi, Botad",,28,3,24253,313184,0.337
