Country,financial_year,calendar_year,calendar_month,DISCOM,State,city,ev_stations,hd_stations,ev_kwh,hd_kwh,total_mu
India,2022-23,2022,4,Tata Power-DDL,DELHI,new delhi,463,1,2000000,50000,2.05
India,2022-23,2022,4,TSSPDCL,TNG,hyderabad,7,0,1700,0,0.002
India,2022-23,2022,4,PGVCL,GUJ,"rajkot, surendranagar, junagadh, jamnagar, morbi, botad",2,1,526,134140,0.135
India,2022-23,2022,4,MESCOM,KAR,"mangaluru, udupi, shivamogga, chikkamagaluru",0,0,0,0,0
India,2023-24,2023,4,Noida Power Company Ltd. (NPCL),UP,greater noida,3,0,117,0,0
India,2023-24,2023,4,JDVVNL,RAJ,pali,,,,,0
India,2023-24,2023,4,TSNPDCL,TNG,"adilabad, hanamkonda, kamareddy, karimnagar, khammam, mahabubabad, nirmal, nazimabad, pdeapally, warangal",32,0,8015,0,0.008
India,2023-24,2023,4,BRPL,DELHI,new delhi,1666,1,4044558,864960,4.91
India,2023-24,2023,4,TANGEDCO,TN,"coimbatore, villupuram, tirunelveli, chennai north, vellore",,,,,0
India,2023-24,2023,4,AVVNL,RAJ,ajmer,24,0,10674,0,0.011
India,2023-24,2023,4,KSEB,KER,"thiruvananthapuram, ernakulam, kozhikode",258,4,103348,29360,0.133
India,2023-24,2023,4,NBPDCL,BIHAR,patna,107,0,9338,0,0.009
India,2023-24,2023,4,BYPL,DELHI,new delhi,1024,2,2214653,823223,3.038
India,2023-24,2023,4,SBPDCL,BIHAR,patna,103,2,142024,196093,0.338
India,2023-24,2023,4,UHBVN,HARYANA,"panchkula, karnal, kaithal, sonipat, ambala, kurukshetra",8,0,11948,0,0.012
India,2023-24,2023,4,PGVCL,GUJ,"rajkot, surendranagar, junagadh, jamnagar, morbi, botad",19,3,14876,441657,0.457
India,2023-24,2023,4,JVVNL,RAJ,"alwar, dausa, jcc, jpdc",130,7,298987,56387,0.355
India,2023-24,2023,4,Torrent Power,GUJ,ahemdabad,14,6,10699,1732732,1.743
India,2023-24,2023,4,CESC Mysore,KAR,"mysore, mandya, hassan, kodagu",20,3,6665,84995,0.092
India,2023-24,2023,4,DGVCL,GUJ,"surat city, navsari, vapi-town, haldarva, bharuch east, kavadiya colony",43,11,27102,1270038,1.297
India,2023-24,2023,4,MESCOM,KAR,"mangaluru, udupi, shivamogga, chikkamagaluru",64,0,7999,0,0.008
India,2023-24,2023,4,APDCL,ASSAM,"badarpur, karimganj, kokrajhar, nagaon, silchar, guwahati, tezpur",77,4,131075,17800,0.149
India,2023-24,2023,4,TPCODL,ORISSA,"bhubaneswar, puri, khordha & paradeep",15,0,1812,0,0.002
India,2023-24,2023,4,HESCOM,KAR,hubli,6,2,2251,132,0.002
India,2023-24,2023,4,CESC,WB,kolkata,12,11,4288,228607,0.233
India,2023-24,2023,4,UGVCL,GUJ,"hebatpur, bavla(ramnagar), fedra, dholasan, asal, modasa, majadar, nugar, rangpur",20,0,8187,0,0.008
India,2023-24,2023,4,GESCOM,KAR,kalaburgi,,,,,0
India,2023-24,2023,4,DHBVN,HARYANA,"faridabad, gurugram, hisar, rewari, sirsa, narnaul, palwal",46,0,611819,0,0.612
India,2023-24,2023,4,,CHANDIGARH,chandigarh,15,6,534,486706,0.487
India,2023-24,2023,4,APEPDCL,AP,"visakhapatnam, rajmahendravaram, west godavari, srikakulam, vizianagaram",65,0,24563,0,0.025
